title,slug,category,description,headerImage,credit,artist_ids,gene_ids,tag_id,keyword,price_guidance,show_on_editorial
Ellsworth Kelly: Black and White,ellsworth-kelly-black-and-white,Abstract Art,,http://files.artsy.net/images/ellsworth-kelly-black-and-white.png,"<p>Ellsworth Kelly, <i>Black and White</i>, 1964. Courtesy of Galerie Lelong & Co.</p>",4dbe1873a671b202fd0001b3,black-and-white,,,,
Collect by Color: Black and White,collect-by-color-black-and-white,Contemporary,"<p>From the beginning of art history, artists have been drawn to the simple palette of black and white. Even <a href=""https://www.artsy.net/artist/henri-matisse"">Henri Matisse</a>, a painter famous for his experimentation with color, believed in the power of neutrals. “I’ve been forty years discovering that the queen of all colors is black,” he famously said. For Matisse, along with many others, black and white works boast a certain timelessness, showcasing the impact of light and shadow. Below, explore whimsical etchings by <a href=""https://www.artsy.net/artist/wayne-thiebaud"">Wayne Thiebaud</a>, abstract lithographs by <a href=""https://www.artsy.net/artist/robert-motherwell"">Robert Motherwell</a>, and more classic black and white works that are available now.</p>",http://files.artsy.net/images/blackandwhiteopie.png,"<p>Julian Opie, <i>Walking In Melbourne 5</i>, 2018. Courtesy of Vertu Fine Art.</p>",,collect-by-color-black-and-white,,,1000,TRUE
Pop Art Prints,pop-art-prints,Pop Art,,http://files.artsy.net/images/popartprintsandywarholflowers.png,"<p>&copy; Andy Warhol / Artist Rights Society (ARS), New York, NY.</p>",,pop-art,,Print,1500,TRUE
Roy Lichtenstein: Still Lifes,roy-lichtenstein-still-lifes,Pop Art,"<p><a href=""https://www.artsy.net/artist/roy-lichtenstein"">Roy Lichtenstein</a> began painting still lifes in 1972, putting a cartoon-inspired spin on the centuries-old genre of portraying everyday objects in art. Lichtenstein, who was drawn to the art historical significance of the still life motif, filled his compositions with references to great artists of the past. In his prints and paintings, viewers can find guitars in the style of <a href=""https://www.artsy.net/artist/pablo-picasso"">Pablo Picasso</a>, bowls of goldfish borrowed from <a href=""https://www.artsy.net/artist/henri-matisse"">Henri Matisse</a>, peeled lemons popularized by the Dutch Old Masters of the 17th century, and more. But while Lichtenstein’s works might contain elements of art history, the Pop artist always asserted that his renditions were distinctly modern. “When we think of still lifes, we think of paintings that have a certain atmosphere or ambiance,” he once <a href=""https://gagosian.com/exhibitions/2010/roy-lichtenstein-still-lifes/"">explained</a>. “My still life paintings have none of those qualities, they just have pictures of certain things that are in a still life, like lemons and grapefruits and so forth. It’s not meant to have the usual still life meaning.”</p>",http://files.artsy.net/images/roylichtensteinstilllifes.png,"<p>Roy Lichtenstein, <i>Still life with crystal bowl</i>, 1976. Courtesy of Corridor Contemporary.</p>",4d8b92734eb68a1b2c00010c,still-life,,,,
Roy Lichtenstein: Landscapes,roy-lichtenstein-landscapes,Pop Art,"<p>After spending the first few years of the 1960s painting scenes from comic books, <a href=""https://www.artsy.net/artist/roy-lichtenstein"">Roy Lichtenstein</a> found himself enraptured by a new subject matter: landscapes. In 1964, the Pop artist created his first paintings of floating clouds, ocean tides, and rolling hills, drawing inspiration from the nature scenes often overlooked in the background of cartoon strips. Over the following decades, Lichtenstein continued to put his Pop art spin on landscape painting, choosing to portray scenes from nature that felt cliché or mass-produced. For example, his prints of ray-filled sunrises remind viewers of images found on travel postcards, while his versions of <a href=""https://www.artsy.net/artist/claude-monet"">Claude Monet</a>’s haystack paintings reference the mass-production of these art historical masterpieces. For the final series of his career, Lichtenstein expanded his parody of traditional landscapes with <i>Landscapes in the Chinese Style</i> (1995–97), transforming the ethereal and expressive ink-and-wash paintings from China’s Song dynasty into dotted, mechanical compositions that appear computer-generated.</p>",http://files.artsy.net/images/roylichtensteinlandscapes.png,"<p>Roy Lichtenstein, <i>Moonscape from the 11 Pop Artist portfolio, Volume I</i>, 1965. Courtesy of Hamilton-Selway Fine Art.</p>",4d8b92734eb68a1b2c00010c,landscapes,,,,
Roy Lichtenstein: The Surrealist Series,roy-lichtenstein-the-surrealist-series,Pop Art,"<p>In 1977, <a href=""https://www.artsy.net/artist/roy-lichtenstein"">Roy Lichtenstein</a> entered his brief but impactful Surrealist period, finding inspiration in the absurdist works of <a href=""https://www.artsy.net/artist/salvador-dali"">Salvador Dalí</a>, <a href=""https://www.artsy.net/artist/rene-magritte"">Rene Magritte</a>, <a href=""https://www.artsy.net/artist/max-ernst"">Max Ernst</a>, and <a href=""https://www.artsy.net/artist/pablo-picasso"">Pablo Picasso</a>. Lichtenstein’s carefully planned compositions and cartoon aesthetic couldn’t be more different from the instinctive, dreamlike practices of the Surrealists—and the challenge of integrating these disparate styles intrigued him. For example, the Pop artist’s <i>Nude on Beach</i> (1978) portrays a blonde woman, composed entirely of graphic red stripes, melting on the beach—a reference to the <a href=""http://artsy.net/collection/salvador-dali-melting-clocks"">oozing clocks</a> in Dalí’s famous painting <i>The Persistence of Memory</i> (1931). While Lichtenstein revisited multiple art movements (including Art Deco, Futurism, Cubism, and German Expressionism) throughout his career, his Surrealist period is among his most commercially popular series. His painting <i>Landscape with Figures</i> (1977) reached $18 million with fees at Christie’s in 2014, while <i>Female Head</i> (1977) set a new record for the series at Sotheby’s in 2017, selling for over $24.5 million with fees.</p>",http://files.artsy.net/images/roylichtensteinsurrealism.png,"<p>Roy Lichtenstein, <i>Jobs Not Cheese! Moffett for Senator</i>, 1982. Courtesy of ArtWise.</p>",4d8b92734eb68a1b2c00010c,,,"Surrealism, Surrealist",,
Andy Warhol: Details of Renaissance Paintings,andy-warhol-details-of-renaissance-paintings,Pop Art,"<p>In 1963, <a href=""https://www.artsy.net/artist/leonardo-da-vinci"">Leonardo da Vinci</a>’s The Mona Lisa was exhibited for the first time in New York, launching a media frenzy that caught the attention of <a href=""https://www.artsy.net/artist/andy-warhol"">Andy Warhol</a>. Amused by the hype of the portrait, Warhol unveiled his own version of the art historical sensation, repeating her smiling face 30 times in <i>Thirty Are Better Than One</i> (1963). In the 1980s, Warhol returned to the greats of art history, obsessively creating his own Pop renditions of masterworks by the Renaissance painters <a href=""https://www.artsy.net/artist/sandro-botticelli"">Sandro Botticelli</a>, <a href=""https://www.artsy.net/artist/piero-della-francesca"">Piero Della Francesca</a>, <a href=""https://www.artsy.net/artist/lucas-cranach-the-elder"">Lucas Cranach the Elder</a>, and <a href=""https://www.artsy.net/artist/paolo-uccello"">Paolo Uccello</a>, as well as the Modern icons <a href=""https://www.artsy.net/artist/giorgio-de-chirico"">Giorgio de Chirico</a>, <a href=""https://www.artsy.net/artist/henri-matisse"">Henri Matisse</a>, <a href=""https://www.artsy.net/artist/edvard-munch"">Edvard Munch</a>, and <a href=""https://www.artsy.net/artist/pablo-picasso"">Pablo Picasso</a>. Through his reproductions of iconic works, Warhol showed that a famous artwork can be just as commoditized as a can of <a href=""https://www.artsy.net/collection/andy-warhol-campbells-soup-can"">Campbell’s soup</a>.</p>",http://files.artsy.net/images/warhol-details-of-renissance-paintings.png,"<p>&copy; Andy Warhol / Artist Rights Society (ARS), New York, NY.</p>",4d8b92b34eb68a1b2c0003f4,,,"Saint Apollonia, Sandro Botticelli, Paolo Uccello, Birth of Venus, Renaissance, Dragon",,
Andy Warhol: References to Art History,andy-warhol-references-to-art-history,Pop Art,"<p>In 1963, <a href=""https://www.artsy.net/artist/leonardo-da-vinci"">Leonardo da Vinci</a>’s The Mona Lisa was exhibited for the first time in New York, launching a media frenzy that caught the attention of <a href=""https://www.artsy.net/artist/andy-warhol"">Andy Warhol</a>. Amused by the hype of the portrait, Warhol unveiled his own version of the art historical sensation, repeating her smiling face 30 times in <i>Thirty Are Better Than One</i> (1963). In the 1980s, Warhol returned to the greats of art history, obsessively creating his own Pop renditions of masterworks by the Renaissance painters <a href=""https://www.artsy.net/artist/sandro-botticelli"">Sandro Botticelli</a>, <a href=""https://www.artsy.net/artist/piero-della-francesca"">Piero Della Francesca</a>, <a href=""https://www.artsy.net/artist/lucas-cranach-the-elder"">Lucas Cranach the Elder</a>, and <a href=""https://www.artsy.net/artist/paolo-uccello"">Paolo Uccello</a>, as well as the Modern icons <a href=""https://www.artsy.net/artist/giorgio-de-chirico"">Giorgio de Chirico</a>, <a href=""https://www.artsy.net/artist/henri-matisse"">Henri Matisse</a>, <a href=""https://www.artsy.net/artist/edvard-munch"">Edvard Munch</a>, and <a href=""https://www.artsy.net/artist/pablo-picasso"">Pablo Picasso</a>. Through his reproductions of iconic works, Warhol showed that a famous artwork can be just as commoditized as a can of <a href=""https://www.artsy.net/collection/andy-warhol-campbells-soup-can"">Campbell’s soup</a>.</p>",http://files.artsy.net/images/warhol-details-of-renissance-paintings.png,"<p>&copy; Andy Warhol / Artist Rights Society (ARS), New York, NY.</p>",4d8b92b34eb68a1b2c0003f4,,,"Alexander the Great, Saint Apollonia, Scream, After Munch, Sandro Botticelli, Leonardo da Vinci, Paolo Uccello, References to Art History, Mona Lisa, Last Supper, Birth of Venus, Renaissance, Dragon",,
Andy Warhol: Birth of Venus,andy-warhol-birth-of-venus,Pop Art,"<p>In 1963, <a href=""https://www.artsy.net/artist/leonardo-da-vinci"">Leonardo da Vinci</a>’s The Mona Lisa was exhibited for the first time in New York, launching a media frenzy that caught the attention of <a href=""https://www.artsy.net/artist/andy-warhol"">Andy Warhol</a>. Amused by the hype of the portrait, Warhol unveiled his own version of the art historical sensation, repeating her smiling face 30 times in <i>Thirty Are Better Than One</i> (1963). In the 1980s, Warhol returned to the greats of art history, obsessively creating his own Pop renditions of masterworks by the Renaissance painters <a href=""https://www.artsy.net/artist/sandro-botticelli"">Sandro Botticelli</a>, <a href=""https://www.artsy.net/artist/piero-della-francesca"">Piero Della Francesca</a>, <a href=""https://www.artsy.net/artist/lucas-cranach-the-elder"">Lucas Cranach the Elder</a>, and <a href=""https://www.artsy.net/artist/paolo-uccello"">Paolo Uccello</a>, as well as the Modern icons <a href=""https://www.artsy.net/artist/giorgio-de-chirico"">Giorgio de Chirico</a>, <a href=""https://www.artsy.net/artist/henri-matisse"">Henri Matisse</a>, <a href=""https://www.artsy.net/artist/edvard-munch"">Edvard Munch</a>, and <a href=""https://www.artsy.net/artist/pablo-picasso"">Pablo Picasso</a>. Through his reproductions of iconic works, Warhol showed that a famous artwork can be just as commoditized as a can of <a href=""https://www.artsy.net/collection/andy-warhol-campbells-soup-can"">Campbell’s soup</a>.</p>",http://files.artsy.net/images/andywarholbirthofvenus.png,"<p>&copy; Andy Warhol / Artist Rights Society (ARS), New York, NY.</p>",4d8b92b34eb68a1b2c0003f4,,,Birth of Venus,,
Andy Warhol: Edvard Munch,andy-warhol-edvard-munch,Pop Art,"<p>In 1963, <a href=""https://www.artsy.net/artist/leonardo-da-vinci"">Leonardo da Vinci</a>’s The Mona Lisa was exhibited for the first time in New York, launching a media frenzy that caught the attention of <a href=""https://www.artsy.net/artist/andy-warhol"">Andy Warhol</a>. Amused by the hype of the portrait, Warhol unveiled his own version of the art historical sensation, repeating her smiling face 30 times in <i>Thirty Are Better Than One</i> (1963). In the 1980s, Warhol returned to the greats of art history, obsessively creating his own Pop renditions of masterworks by the Renaissance painters <a href=""https://www.artsy.net/artist/sandro-botticelli"">Sandro Botticelli</a>, <a href=""https://www.artsy.net/artist/piero-della-francesca"">Piero Della Francesca</a>, <a href=""https://www.artsy.net/artist/lucas-cranach-the-elder"">Lucas Cranach the Elder</a>, and <a href=""https://www.artsy.net/artist/paolo-uccello"">Paolo Uccello</a>, as well as the Modern icons <a href=""https://www.artsy.net/artist/giorgio-de-chirico"">Giorgio de Chirico</a>, <a href=""https://www.artsy.net/artist/henri-matisse"">Henri Matisse</a>, <a href=""https://www.artsy.net/artist/edvard-munch"">Edvard Munch</a>, and <a href=""https://www.artsy.net/artist/pablo-picasso"">Pablo Picasso</a>. Through his reproductions of iconic works, Warhol showed that a famous artwork can be just as commoditized as a can of <a href=""https://www.artsy.net/collection/andy-warhol-campbells-soup-can"">Campbell’s soup</a>.</p>",http://files.artsy.net/images/andywarholedvardmunch.png,"<p>&copy; Andy Warhol / Artist Rights Society (ARS), New York, NY.</p>",4d8b92b34eb68a1b2c0003f4,,,"After Munch, Scream, References to Edvard Munch, Eva Mudocci",,
